2.93,33,31.02,13.2,28.4
2.89,34,31.02,12.2,17
2.86,35,30.97,13,26.9
3.04,36,31.04,9.5,24.1
2.9,37,30.95,7,21
2.76,38,30.97,4,11.1
2.46,39,31.13,0.3,17
2.24,40,30.93,11.6,27.3
2.16,41,30.92,8,13.5
1.94,42,30.95,0.6,12.1
1.76,43,30.93,2.9,15.8
1.41,44,30.93,0.3,11.6
1.23,45,31.05,0.1,5.2
1.24,46,31.16,-3.6,0.5
0.99,47,31.11,-9.9,0.1
0.68,48,30.89,-16.8,0.3
0.59,49,31,-15.1,-4.5
0.49,50,31.14,-9.9,-0.6
0.47,51,31.06,-7.6,3.1
0.36,52,30.98,-16.3,-4.7
0.41,53,31.1,-0.5,3.1
0.41,2,31.08,-26.1,-11.9
0.51,3,30.98,-25.8,-12.1
0.36,4,31.1,-28.6,-17.8
0.55,5,30.93,-6.6,-2.1
0.36,6,31.09,-24.4,-12.2
0.28,7,31.06,-24.8,-13.9
0.32,8,31.07,-27.6,-14.4
0.42,9,31.08,-24.4,-10
0.16,10,30.92,-24.8,-5.6
0.21,11,31.12,-13.2,-2.2
0.39,12,31.12,-6.3,-1.1
0.34,13,31.07,-15.2,0.7
0.29,14,31.04,-13.7,-0.2
0.29,15,31.04,-12.2,1.4
0.28,16,30.97,-1.4,7.8
0.13,17,30.92,-2.9,7.8
0.25,18,30.91,0,10.6
0.54,19,30.83,2.2,22.3
0.82,20,30.91,9.6,24.2
1.15,21,31.08,10.5,17.3
1.5,22,31.03,-1.4,15.8
1.71,23,31.01,8.3,26.7
1.82,24,31,5.4,19.3
1.95,25,30.95,9.6,25.8
2.34,26,31.07,5.3,23.1
2.42,27,30.98,7.9,23.9
2.54,28,30.96,10,24.4
2.6,29,31.04,12.7,28.3
2.77,30,30.98,14.8,20.3
2.78,31,31.02,12.5,23.9
2.84,32,31.02,12.5,24.4
2.91,33,31.1,10.7,25
2.95,34,30.96,15,27.8
3.1,35,31.02,13.4,26.1
3.1,36,31.05,10.2,22.4
3.09,37,31.08,9.2,27.9
3.19,38,31.06,11.4,16.8
3.1,39,31.05,11.6,25.4
2.89,40,31.04,1.6,16.9
2.56,41,30.97,0.1,12.7
2.13,42,31,-1.3,9.1
1.89,43,30.89,-3.9,4.7
1.66,44,31.04,-3.9,7.9
1.43,45,30.82,-4.6,5.7
1.36,46,30.91,-0.3,8.7
1.22,47,30.91,-1.7,3.4
0.95,48,30.89,-4.3,3.5
0.79,49,30.96,-8.3,-1.7
0.65,50,31.06,-1.9,7.2
0.61,51,31.02,-1.5,6.1
0.61,52,30.95,-8.1,-1.8
0.52,53,31.01,-5.4,2.9
0.51,2,31.1,-8.4,-1.4
0.53,3,31.09,-4.1,0.3
0.52,4,31.05,-10.9,-5.5
0.35,5,30.94,-20.6,-6.5
0.47,6,31,-8.5,-3.5
0.49,7,30.83,-16.3,-1.9
0.37,8,30.95,-26.7,-15.7
0.42,9,30.95,-3.5,2
0.35,10,30.99,-20.1,-0.2
0.27,11,30.96,-23.7,-3.1
0.28,12,31.03,-7.1,9.1
0.28,13,31.03,-13.2,-2.3
0.26,14,30.93,-13.5,3.3
0.27,15,30.92,-7.4,6.1
0.22,16,31.01,-10.5,-1.2
0.23,17,31.07,-2.5,14.6
0.36,18,31.03,-1.9,8.4
0.43,19,30.82,-2,14
0.68,20,31,7.2,21.9
0.8,21,30.87,7.5,21.2
0.99,22,30.86,7.1,25.1
1.26,23,31.09,11.7,24.5
1.51,24,30.85,10.9,24.5
1.71,25,30.89,6.9,17.3
1.9,26,31.08,8.7,29.4
2.2,27,31.02,10.5,29.3
2.47,28,31.04,9,17.8
2.65,29,31.07,12.3,14.1
2.76,30,31.17,12.6,23.8
2.81,31,30.88,12.2,24.2
2.99,32,31.21,10.9,24.9
2.97,33,30.78,12.7,23.6
2.99,34,31.18,13.3,22.3
2.97,35,31.04,13.1,26.6
2.91,36,30.97,11.6,24.4
2.92,37,31.11,6.8,22.4
2.86,38,31,11.6,23.4
2.73,39,30.85,6.5,18.8
2.54,40,30.89,2.5,13.7
2.27,41,30.96,7.5,17.5
2.23,42,30.92,5.1,14.7
1.92,43,30.87,0.5,13.5
1.82,44,30.81,0.9,7.5
1.47,45,30.96,0.5,3.3
1.4,46,30.97,-1.8,6
1.22,47,30.95,-2.5,3.6
1.12,48,31,0.5,10.1
0.79,49,30.92,-1.4,1.3
0.67,50,30.79,-3.8,0.5
0.54,51,31.09,-15.1,-6.7
0.51,52,31.01,-22.2,-9.7
0.48,53,31.07,-3.3,0.9
0.42,1,31.14,-22.2,-10
0.36,2,30.86,-26.2,-12.1
0.43,3,31.02,-26.9,-12.8
0.48,4,31.11,-2.2,1.5
0.42,5,31.04,-7.6,-1.6
0.36,6,31.03,-24,-8.4
0.3,7,31.24,-20.9,-10.4
0.31,8,31.03,-9.5,3.2
0.37,9,30.94,-2.6,1.9
0.31,10,30.83,-23.7,-13.9
0.28,11,30.95,-25.6,-17.5
0.35,12,30.88,-18.2,1.9
0.32,13,30.96,-9.5,2.9
0.28,14,30.83,-3.3,2.3
0.25,15,30.88,-3.4,4.4
0.27,16,31.05,-0.9,16.6
0.36,17,30.92,-0.6,7.1
0.64,18,31.74,0.4,17.7
0.65,19,31.36,5.1,12.5
0.75,20,31.39,4.3,19.1
1.05,21,30.96,1.7,17.5
1.28,22,30.89,6.5,21
1.48,23,30.85,5.4,16.7
1.75,24,30.94,4.5,23.1
2.01,25,30.88,14,21.8
2.19,26,30.92,10.4,24.3
2.36,27,31.11,15.7,19.4
2.47,28,31.04,11,21.7
2.55,29,30.96,14.4,26.3
2.74,30,30.91,9.6,22.4
2.77,31,31.02,7.8,22
2.78,32,30.78,14.4,21.3
2.77,33,30.9,15.4,22.7
2.71,34,30.87,15.6,24.3
2.66,35,30.98,6.4,20.4
2.49,36,31.22,4.2,20.6
2.32,37,30.91,6.5,18.2
2.37,38,31.02,11.8,26.4
2.45,39,30.88,12.7,27.5
2.48,40,30.88,1.6,12.8
2.25,41,30.82,2.3,13.9
2.13,42,31.01,8.6,16.7
1.85,43,31.21,0.8,17
1.71,44,30.91,1.4,15.4
1.51,45,30.97,-2.3,3.8
1.25,46,31.03,-8,-0.1
0.87,47,31.06,-10.7,-1.6
0.52,48,30.75,-2.1,2.3
0.35,49,30.82,-5.7,0
0.33,50,31.14,-8.4,-2.3
0.42,51,31.03,-19.9,-10
0.42,52,30.82,-13.4,-7
0.44,53,30.95,-29.7,-18.8
0.36,2,30.98,-25.1,-18.8
